Winner,Visitor,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Home,OFG%,O3P%,O2P%,OFT%,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,28,0.456,0.349,0.5,0.748917748917749,11,30.2,23.3,8.7,6.2,12.9,23.9,105
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,28,0.456,0.349,0.5,0.748917748917749,11,30.2,23.3,8.7,6.2,12.9,23.9,105
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,3,0.458,0.346,0.498,0.747211895910781,11,34.1,23.1,7.5,6.1,14.4,20.7,105
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,2,0.487,0.367,0.531,0.759615384615385,11.6,31.9,23.6,8.4,5.5,15.2,21.4,106.5
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,14,0.443,0.322,0.487,0.75,11.9,32,21.4,8.9,5.3,16.4,21.1,100.5
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,22,0.456,0.355,0.491,0.772946859903382,10.7,33.4,23.8,7,4.8,14,19.3,99.5
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,4,0.437,0.342,0.476,0.740740740740741,11.4,31.4,22.3,8.6,4.8,17.4,20.1,97.4
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,24,0.446,0.362,0.474,0.188128772635815,9.9,29.3,19.4,8.2,4.7,13.1,19.6,94.9
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,2,0.487,0.367,0.531,0.759615384615385,11.6,31.9,23.6,8.4,5.5,15.2,21.4,106.5
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,10,0.454,0.353,0.495,0.732758620689655,10.9,30.1,21.3,7.9,4.4,14.8,20.9,97.3
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,12,0.466,0.363,0.507,0.744186046511628,10,34.1,24,7.5,4.8,13,19.4,105.3
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,5,0.456,0.358,0.494,0.732394366197183,11.4,32.9,23.7,7.8,4.5,13.9,20,100.9
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,12,0.466,0.363,0.507,0.744186046511628,10,34.1,24,7.5,4.8,13,19.4,105.3
1,11,0.457,0.37,0.484,0.751,11.5,32,22,6.7,6.2,13.3,18.7,99.4,21,0.444,0.36,0.468,0.742990654205608,9.9,32.2,20.7,7.9,4.4,14.2,19.7,97
0,12,0.435,0.344,0.461,0.741,11.6,32.3,20.9,7,4.5,13.2,21.2,98.5,16,0.45,0.364,0.485,0.755458515283843,12.3,33.9,22.3,7.3,3.8,16.3,22.1,102.3
0,12,0.435,0.344,0.461,0.741,11.6,32.3,20.9,7,4.5,13.2,21.2,98.5,19,0.442,0.349,0.481,0.739299610894942,10.6,32.3,23.2,6.7,3,14.3,21.5,100.1
0,12,0.435,0.344,0.461,0.741,11.6,32.3,20.9,7,4.5,13.2,21.2,98.5,17,0.428,0.337,0.458,0.763265306122449,11.7,32.8,21,8.3,3.6,16.2,18.8,99.9
0,12,0.435,0.344,0.461,0.741,11.6,32.3,20.9,7,4.5,13.2,21.2,98.5,27,0.452,0.352,0.486,0.215228426395939,11.6,33.7,21.1,7.9,4.1,15.6,20.3,103.3
0,12,0.435,0.344,0.461,0.741,11.6,32.3,20.9,7,4.5,13.2,21.2,98.5,29,0.435,0.335,0.465,0.747619047619048,11.7,31.7,20.2,7.5,5.4,12.2,21.2,97.8
